,MeetingDate,WasScheduled?,DecidedRate,PreviousRate,NextRate,Sentiment
393,1978-08-15,1,8.04,7.81,8.45,Hawkish
394,1978-09-08,0,8.45,8.04,8.45,Hawkish
395,1978-09-19,1,8.45,8.45,8.96,Hold-Hawkish
396,1978-10-17,1,8.96,8.45,9.76,Hawkish
397,1978-11-21,1,9.76,8.96,10.03,Hawkish
398,1978-12-19,1,10.03,9.76,10.07,Hawkish
399,1979-01-12,0,10.07,10.03,10.06,Hold-Doveish
400,1979-02-06,1,10.06,10.07,10.09,Hold-Hawkish
401,1979-03-02,0,10.09,10.06,10.09,Hold
402,1979-03-20,1,10.09,10.09,10.01,Hold-Doveish
403,1979-04-17,1,10.01,10.09,10.01,Hold
404,1979-04-27,0,10.01,10.01,10.24,Hold-Hawkish
405,1979-05-22,1,10.24,10.01,10.29,Hawkish
406,1979-06-27,0,10.29,10.24,10.47,Hold-Hawkish
407,1979-07-11,1,10.47,10.29,10.47,Hawkish
408,1979-07-17,0,10.47,10.47,10.47,Hold
409,1979-07-19,0,10.47,10.47,10.94,Hold-Hawkish
410,1979-08-14,1,10.94,10.47,11.43,Hawkish
411,1979-09-18,1,11.43,10.94,13.77,Hawkish
412,1979-10-05,0,13.77,11.43,13.77,Hawkish
413,1979-10-06,1,13.77,13.77,13.77,Hold
414,1979-10-22,0,13.77,13.77,13.18,Hold-Doveish
415,1979-11-20,1,13.18,13.77,13.82,Doveish
416,1980-01-08,1,13.82,13.18,14.13,Hawkish
417,1980-02-04,1,14.13,13.82,17.19,Hawkish
418,1980-03-07,0,17.19,14.13,17.19,Hawkish
419,1980-03-18,1,17.19,17.19,17.61,Hold-Hawkish
420,1980-04-22,1,17.61,17.19,17.61,Hawkish
421,1980-04-29,0,17.61,17.61,10.98,Hold-Doveish
422,1980-05-06,0,10.98,17.61,10.98,Doveish
423,1980-05-20,1,10.98,10.98,9.47,Hold-Doveish
424,1980-06-05,0,9.47,10.98,9.03,Doveish
425,1980-07-09,1,9.03,9.47,9.03,Doveish
426,1980-07-25,0,9.03,9.03,9.61,Hold-Hawkish
427,1980-08-12,1,9.61,9.03,9.61,Hawkish
428,1980-08-22,0,9.61,9.61,10.87,Hold-Hawkish
429,1980-09-16,1,10.87,9.61,12.81,Hawkish
430,1980-10-21,1,12.81,10.87,15.85,Hawkish
431,1980-11-18,1,15.85,12.81,15.85,Hawkish
432,1980-11-26,0,15.85,15.85,18.9,Hold-Hawkish
433,1980-12-05,0,18.9,15.85,18.9,Hawkish
434,1980-12-12,0,18.9,18.9,18.9,Hold
435,1980-12-18,1,18.9,18.9,15.93,Hold-Doveish
436,1981-02-02,1,15.93,18.9,15.93,Doveish
437,1981-02-24,0,15.93,15.93,14.7,Hold-Doveish
438,1981-03-31,1,14.7,15.93,15.72,Doveish
439,1981-04-28,0,15.72,14.7,18.52,Hawkish
440,1981-05-06,0,18.52,15.72,18.52,Hawkish
441,1981-05-18,1,18.52,18.52,19.1,Hold-Hawkish
442,1981-06-17,0,19.1,18.52,19.04,Hawkish
443,1981-07-06,1,19.04,19.1,19.04,Hold
444,1981-07-17,0,19.04,19.04,17.82,Hold-Doveish
445,1981-08-07,0,17.82,19.04,17.82,Doveish
446,1981-08-18,1,17.82,17.82,15.08,Hold-Doveish
447,1981-10-05,1,15.08,17.82,13.31,Doveish
448,1981-11-17,1,13.31,15.08,12.37,Doveish
449,1981-12-21,1,12.37,13.31,14.78,Doveish
450,1982-02-01,1,14.78,12.37,14.68,Hawkish
451,1982-03-29,1,14.68,14.78,14.45,Hold-Doveish
452,1982-05-18,1,14.45,14.68,14.45,Doveish
453,1982-05-20,0,14.45,14.45,14.15,Hold-Doveish
454,1982-06-30,1,14.15,14.45,12.59,Doveish
455,1982-07-15,0,12.59,14.15,10.12,Doveish
456,1982-08-24,1,10.12,12.59,10.31,Doveish
